5.03,0.14
5.04,0.15
5.05,0.2
5.06,0.3
5.07,0.48
5.11,0.56
5.13,0.58
5.18,0.62
5.19,0.68
5.25,0.72
5.31,0.74
5.31,0.93
5.38,1.02
5.41,1.03
5.44,1.05
5.49,1.22
5.5,1.28
5.52,1.42
5.53,1.43
5.54,1.82
5.56,1.84
5.61,1.85
5.64,1.88
5.64,1.99
5.71,2.06
5.71,2.44
5.73,2.48
5.73,2.68
5.77,2.82
5.8,3.08
5.86,3.14
5.87,3.16
5.89,3.25
6,3.34
6.01,3.39
6.11,3.51
6.19,3.65
6.27,3.82
6.33,3.88
6.33,3.91
6.35,3.96
6.36,4.03
6.36,4.12
6.37,4.24
6.43,4.26
6.49,4.29
6.52,4.3
6.55,4.35
6.59,4.56
6.88,4.6
7,4.89
7.07,5
7.09,5.13
7.22,5.17
7.23,5.19
7.33,5.3
7.42,5.34
7.48,5.36
7.54,5.39
7.54,5.41
7.6,5.5
7.64,5.7
7.82,5.74
7.93,6
8.1,6.54
8.21,6.6
8.29,6.68
8.3,6.73
8.38,6.75
8.41,6.78
8.52,6.8
8.52,6.82
8.58,7.05
8.83,7.2
9.18,7.23
9.25,7.54
9.31,7.78
9.45,8
9.77,9.06
10.14,9.13
10.24,10.12
10.27,11.85
10.96,11.89
11.7,12
11.71,12.05
12.83,12.13
12.84,13.5
13.18,13.66
13.39,14.69
14.16,15.51
14.91,17.05
18.95,17.59
18.96,17.93
20.27,20.99
20.34,21.77
21.28,22.64
22.2,24.15
